title,url,points,comments,author,time
"Internet outage in Iran reaches 1,008 hours",https://mastodon.social/@netblocks/116384935123261912,148,106,miadabdi,13 hours ago
Network Flow Algorithms,https://www.networkflowalgs.com/,54,1,teleforce,18 hours ago
Building a SaaS in 2026 Using Only EU Infrastructure,https://eualternative.eu/guides/building-saas-eu-stack/,172,57,sparkling,8 hours ago
How to build a `Git diff` driver,https://www.jvt.me/posts/2026/04/11/how-git-diff-driver/,128,13,zdw,1 day ago
Tell HN: OpenAI silently removed Study Mode from ChatGPT,item?id=47739305,164,67,smokel,11 hours ago
Intel Xpress Resurrection: Reviving a Forgotten EISA Beast,https://x86.fr/intel-xpress-resurrection-reviving-a-forgotten-eisa-beast/,21,0,ankitg12,15 hours ago
Reading Is Magic,https://samkriss.substack.com/p/reading-is-magic,46,24,gHeadphone,7 hours ago
The Moon Just Got a New Scar,https://www.universetoday.com/articles/the-moon-just-got-a-new-scar,10,0,johnbarron,4 hours ago
Small models also found the vulnerabilities that Mythos found,https://aisle.com/blog/ai-cybersecurity-after-mythos-the-jagged-frontier,1230,322,dominicq,1 day ago
The Soul of an Old Machine,https://skalski.dev/the-soul-of-an-old-machine/,75,19,mskalski,1 day ago
Jim Allchin to Gates and Ballmer on the state of quality at Microsoft (2004),https://twitter.com/TechEmails/status/1418248256937775105,6,3,Austin_Conlon,8 hours ago
The Problem That Built an Industry,https://ajitem.com/blog/iron-core-part-1-the-problem-that-built-an-industry/,142,48,ShaggyHotDog,1 day ago
